"1";"153 км"
"2";"160 км"
"3";"192 км М3"
"4";"231 км"
"5";"247 км"
"6";"3 км"
"7";"36 км Новорижского шоссе"
"8";"42 км"
"9";"450 км трассы М18"
"10";"47 км"
"11";"686 км"
"12";"74 км"
"13";"77 км"
"14";"81 км М-10"
"15";"85 км Калужского шоссе"
"16";"Абакан"
"17";"Абалак"
"18";"Абдаево"
"19";"Абрамцево"
"20";"Авдотьино"
"21";"Авдотьино"
"22";"Адлер"
"23";"Азов"
"24";"Акатово"
"25";"Аксай"
"26";"Акташ"
"27";"Акулова Гора"
"28";"Алакаевка"
"29";"Алапаевск"
"30";"Алатырь"
"31";"Александров"
"32";"Александровка"
"33";"Алексеевка"
"34";"Алексеевское"
"35";"Алексин"
"36";"Алеховщина"
"37";"Алешунино"
"38";"Алмазово"
"39";"Алтун"
"40";"Анапа"
"41";"Анатольевка"
"42";"Ангарск"
"43";"Андреевское"
"44";"Андрианово"
"45";"Анишино"
"46";"Анна"
"47";"Апсарёвское урочище"
"48";"Арженка"
"49";"Арзамас"
"50";"Аркаим"
"51";"Арсаки"
"52";"Архангельск"
"53";"Архангельское"
"54";"Асбест"
"55";"Аскиз"
"56";"Астрахань"
"57";"Аткарск"
"58";"Афанасово"
"59";"Ахтубинск"
"60";"Ахуны"
"61";"Ачаир"
"62";"Баево"
"63";"Балаково"
"64";"Балахна"
"65";"Балашиха"
"66";"Баловнево"
"67";"Балтийск"
"68";"Барвиха"
"69";"Барсуково"
"70";"Баскаково"
"71";"Батурино"
"72";"Бахмары"
"73";"Бахчиванджи"
"74";"Беднодемьяновск"
"75";"Бежаницы"
"76";"Бежецк"
"77";"Белая Гора"
"78";"Белая Калитва"
"79";"Белгород"
"80";"Белев"
"81";"Белинский"
"82";"Белово"
"83";"Белогорка"
"84";"Белогорье"
"85";"Белозерный"
"86";"Белозерск"
"87";"Беломорск"
"88";"Белоомут"
"89";"Белорецк"
"90";"Белые Берега"
"91";"Белый Бом"
"92";"Белый Раст"
"93";"Березник"
"94";"Березник"
"95";"Березники"
"96";"Березовка"
"97";"Берёзовский"
"98";"Берново"
"99";"Бийск"
"100";"Билимбай"
"101";"Билярск"
"102";"Боблово"
"103";"Бобров"
"104";"Боголюбово"
"105";"Богородицк"
"106";"Богородск"
